epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,376.093,1.72481,0.87216,0.89113,0.56221,0.55424,0.52485,0.23637,1.7338,0.89825,0.89045,0.00138101,0.00138101,0.00138101
43,385.009,1.71151,0.86629,0.88705,0.53467,0.54824,0.5512,0.23251,1.77202,0.92885,0.89311,0.00136781,0.00136781,0.00136781
44,393.848,1.72029,0.85816,0.88222,0.61496,0.56794,0.5096,0.25225,1.73684,0.89644,0.89314,0.00135438,0.00135438,0.00135438
45,402.743,1.72802,0.8788,0.88828,0.81636,0.53234,0.60616,0.2628,1.74048,0.88236,0.89058,0.00134073,0.00134073,0.00134073
46,411.55,1.70409,0.86876,0.88052,0.43169,0.57993,0.46989,0.23655,1.74838,0.91256,0.89389,0.00132685,0.00132685,0.00132685
47,420.451,1.71902,0.86777,0.88421,0.86588,0.62739,0.63686,0.27151,1.7259,0.91878,0.89766,0.00131277,0.00131277,0.00131277
48,429.491,1.70106,0.84962,0.87515,0.58813,0.46605,0.52761,0.2489,1.76183,0.89215,0.89557,0.00129847,0.00129847,0.00129847
49,438.32,1.70638,0.84377,0.88201,0.82726,0.51778,0.58788,0.25224,1.72752,0.89756,0.89151,0.00128398,0.00128398,0.00128398
50,447.208,1.68053,0.84037,0.88217,0.71867,0.59314,0.62065,0.26617,1.72252,0.88245,0.89012,0.00126929,0.00126929,0.00126929
51,456.051,1.69677,0.84001,0.8851,0.78862,0.61201,0.63458,0.26761,1.7088,0.86833,0.88247,0.00125442,0.00125442,0.00125442
52,464.889,1.66447,0.84048,0.87718,0.88115,0.51698,0.65184,0.30171,1.70274,0.87173,0.88928,0.00123936,0.00123936,0.00123936
53,474.009,1.68932,0.86568,0.88311,0.58001,0.6304,0.62605,0.26472,1.73018,0.88408,0.88734,0.00122413,0.00122413,0.00122413
54,482.821,1.67709,0.83772,0.88032,0.86534,0.59528,0.64142,0.26187,1.74361,0.89911,0.89405,0.00120873,0.00120873,0.00120873
55,491.731,1.69384,0.85299,0.89087,0.74148,0.62054,0.62879,0.28386,1.70992,0.897,0.8879,0.00119317,0.00119317,0.00119317
56,500.558,1.65704,0.82115,0.88113,0.69867,0.51614,0.58581,0.26212,1.76777,0.87047,0.89225,0.00117746,0.00117746,0.00117746
57,509.351,1.69027,0.84319,0.8843,0.65283,0.62653,0.61828,0.31035,1.7212,0.88719,0.88834,0.0011616,0.0011616,0.0011616
58,518.458,1.66309,0.82738,0.87821,0.66794,0.51877,0.5669,0.25731,1.67892,0.85836,0.89026,0.0011456,0.0011456,0.0011456
59,527.354,1.65829,0.82293,0.87618,0.68394,0.53883,0.61874,0.27909,1.66702,0.86206,0.88213,0.00112946,0.00112946,0.00112946
60,536.183,1.6477,0.80869,0.87222,0.79474,0.61061,0.65588,0.30679,1.66399,0.84221,0.883,0.0011132,0.0011132,0.0011132
61,545.317,1.64297,0.80633,0.87433,0.63136,0.54306,0.55757,0.26096,1.67684,0.86777,0.88201,0.00109683,0.00109683,0.00109683
62,554.142,1.64215,0.80831,0.87355,0.87264,0.59791,0.65785,0.29773,1.68272,0.8605,0.88524,0.00108033,0.00108033,0.00108033
63,562.995,1.62207,0.80644,0.87845,0.69097,0.64049,0.6281,0.28158,1.6752,0.86363,0.88053,0.00106374,0.00106374,0.00106374
64,571.804,1.62593,0.80237,0.87758,0.76503,0.58394,0.66222,0.32393,1.68577,0.83564,0.88765,0.00104705,0.00104705,0.00104705
65,580.858,1.64675,0.80229,0.87614,0.72417,0.68554,0.69668,0.31419,1.67414,0.83305,0.88195,0.00103026,0.00103026,0.00103026
66,589.614,1.63649,0.79653,0.87356,0.5774,0.64536,0.61905,0.28212,1.73482,0.86117,0.88796,0.0010134,0.0010134,0.0010134
67,598.495,1.63427,0.78168,0.86943,0.70153,0.64543,0.6621,0.28679,1.69078,0.83655,0.88707,0.000996456,0.000996456,0.000996456
68,607.3,1.62772,0.78208,0.87627,0.63085,0.59442,0.6786,0.29468,1.68302,0.84742,0.8838,0.000979447,0.000979447,0.000979447
