epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.73807,2.21599,2.99599,1.03674,0.01624,0.39591,0.18655,0.06575,2.00672,2.88413,0.99249,0.000548158,0.000548158,0.000548158
2,6.87479,2.06163,1.82457,0.99031,0.3357,0.29389,0.31885,0.13149,2.0367,1.68391,1.01163,0.00110379,0.00110379,0.00110379
3,9.93147,2.06494,1.64435,0.98964,0.83995,0.30137,0.33046,0.141,1.9421,1.70302,0.98994,0.00165931,0.00165931,0.00165931
4,12.9652,2.00581,1.49143,0.97255,0.8635,0.29409,0.35015,0.15872,1.92569,1.28051,0.97864,0.00166659,0.00166659,0.00166659
5,15.9408,2.01886,1.43211,0.97664,0.68727,0.40876,0.44963,0.17815,1.9151,1.258,0.97509,0.00166628,0.00166628,0.00166628
6,18.9279,1.96218,1.33121,0.96284,0.36317,0.33519,0.36192,0.16497,1.84804,1.3223,0.96418,0.00166587,0.00166587,0.00166587
7,21.9705,1.96115,1.28975,0.96387,0.35204,0.33861,0.35917,0.16194,1.8524,1.18811,0.96485,0.00166537,0.00166537,0.00166537
8,24.9796,1.92719,1.26371,0.96482,0.50302,0.38948,0.41418,0.19828,1.85591,1.16865,0.96678,0.00166478,0.00166478,0.00166478
9,27.9483,1.91201,1.20997,0.95542,0.52736,0.49817,0.4752,0.18866,1.81867,1.16524,0.95442,0.00166411,0.00166411,0.00166411
10,31.0374,1.92303,1.21091,0.95162,0.50812,0.43181,0.4714,0.2042,1.84229,1.1655,0.95481,0.00166334,0.00166334,0.00166334
11,34.0043,1.92941,1.18596,0.95617,0.33429,0.48453,0.40814,0.1798,1.81805,1.16625,0.95515,0.00166248,0.00166248,0.00166248
12,37.0058,1.90163,1.15559,0.9525,0.57176,0.39763,0.46117,0.19487,1.85317,1.09739,0.95885,0.00166153,0.00166153,0.00166153
13,39.9633,1.90857,1.13585,0.95047,0.70422,0.47805,0.48964,0.19444,1.9075,1.0818,0.97611,0.00166049,0.00166049,0.00166049
14,42.9457,1.88811,1.1485,0.95035,0.57712,0.41903,0.49448,0.20334,1.78311,1.11801,0.95052,0.00165937,0.00165937,0.00165937
15,45.9,1.88591,1.13971,0.94677,0.5092,0.38648,0.41876,0.19124,1.80379,1.1659,0.95268,0.00165815,0.00165815,0.00165815
16,48.8949,1.90059,1.14255,0.96006,0.61571,0.48447,0.5365,0.20635,1.82085,1.1215,0.95732,0.00165684,0.00165684,0.00165684
17,51.8967,1.86663,1.10921,0.95161,0.56346,0.52978,0.5742,0.21495,1.80124,1.08237,0.95918,0.00165544,0.00165544,0.00165544
18,55.4541,1.87079,1.10495,0.94667,0.66905,0.39206,0.48815,0.21777,1.83572,1.11843,0.95876,0.00165396,0.00165396,0.00165396
19,58.4681,1.84538,1.08319,0.94783,0.62468,0.43643,0.47907,0.21586,1.77275,1.09352,0.95086,0.00165238,0.00165238,0.00165238
20,61.4652,1.8402,1.07826,0.94386,0.83439,0.52517,0.56591,0.2262,1.78799,1.05908,0.95348,0.00165072,0.00165072,0.00165072
21,64.4546,1.85124,1.07351,0.94284,0.88494,0.57816,0.61389,0.27428,1.79299,1.03954,0.94782,0.00164897,0.00164897,0.00164897
22,67.4476,1.83776,1.06201,0.93642,0.70269,0.51166,0.59125,0.26267,1.74131,1.10483,0.94499,0.00164713,0.00164713,0.00164713
23,70.9853,1.85781,1.0835,0.94147,0.68983,0.57764,0.59232,0.23541,1.76795,1.06611,0.94449,0.0016452,0.0016452,0.0016452
24,73.923,1.83442,1.06248,0.94606,0.59652,0.42203,0.46691,0.21222,1.75979,1.1233,0.94341,0.00164318,0.00164318,0.00164318
25,77.1157,1.8082,1.05294,0.94122,0.71897,0.55334,0.59976,0.25006,1.78538,1.03446,0.95116,0.00164108,0.00164108,0.00164108
26,80.3979,1.85443,1.06735,0.93767,0.88558,0.58816,0.63466,0.27242,1.77637,1.0415,0.94585,0.00163888,0.00163888,0.00163888
27,83.8893,1.82298,1.06132,0.93813,0.69752,0.48618,0.5186,0.23133,1.78879,1.06733,0.94734,0.0016366,0.0016366,0.0016366
28,87.1873,1.84766,1.06428,0.93956,0.75531,0.57088,0.60995,0.24262,1.76788,1.05541,0.94855,0.00163424,0.00163424,0.00163424
29,90.1997,1.82225,1.04943,0.93788,0.68885,0.58219,0.61016,0.25358,1.74134,1.01703,0.94221,0.00163178,0.00163178,0.00163178
30,93.4212,1.80812,1.04014,0.93107,0.71602,0.49945,0.5737,0.23353,1.77232,1.03086,0.94481,0.00162924,0.00162924,0.00162924
31,96.3884,1.80446,1.03759,0.94049,0.60912,0.55076,0.57612,0.25259,1.76012,1.07614,0.94514,0.00162661,0.00162661,0.00162661
32,99.3395,1.82912,1.04128,0.9349,0.75787,0.56354,0.60258,0.27033,1.74727,1.03614,0.94306,0.0016239,0.0016239,0.0016239
33,102.586,1.82455,1.04005,0.9352,0.70857,0.55225,0.60074,0.24192,1.77356,1.06617,0.95141,0.0016211,0.0016211,0.0016211
34,105.509,1.79121,1.00854,0.9338,0.74916,0.5803,0.59231,0.26886,1.73415,1.01334,0.93967,0.00161822,0.00161822,0.00161822
35,108.883,1.7889,1.02177,0.92685,0.88257,0.56642,0.6186,0.26588,1.73066,1.01812,0.93851,0.00161525,0.00161525,0.00161525
36,111.902,1.80692,1.03092,0.94163,0.58553,0.62287,0.60052,0.24574,1.73757,1.04329,0.94373,0.00161219,0.00161219,0.00161219
37,114.914,1.80611,1.01091,0.92773,0.68339,0.56788,0.61252,0.26238,1.72716,1.00035,0.93858,0.00160905,0.00160905,0.00160905
38,118.097,1.79596,1.0129,0.93053,0.85599,0.56146,0.62168,0.25089,1.75269,1.05503,0.94813,0.00160583,0.00160583,0.00160583
39,121.133,1.78056,1.00768,0.93568,0.75817,0.56868,0.62943,0.27454,1.73558,1.0114,0.94415,0.00160252,0.00160252,0.00160252
40,124.402,1.78069,1.01251,0.92814,0.83295,0.56537,0.61886,0.25908,1.755,1.01285,0.9454,0.00159913,0.00159913,0.00159913
41,127.445,1.79453,1.01407,0.92864,0.73311,0.61227,0.61077,0.25187,1.7477,1.02398,0.94796,0.00159566,0.00159566,0.00159566
42,130.485,1.79943,1.01002,0.92906,0.62888,0.68524,0.65988,0.25526,1.75006,1.00047,0.94182,0.0015921,0.0015921,0.0015921
43,133.65,1.76949,0.99333,0.93044,0.70556,0.57683,0.60945,0.23688,1.7314,1.09325,0.94549,0.00158847,0.00158847,0.00158847
44,136.683,1.78869,1.00013,0.92858,0.77607,0.57559,0.60517,0.23888,1.72475,0.97435,0.93783,0.00158475,0.00158475,0.00158475
45,139.861,1.79894,0.98471,0.9365,0.69419,0.58966,0.57621,0.22853,1.75341,1.00634,0.94479,0.00158094,0.00158094,0.00158094
46,142.851,1.778,0.99144,0.9237,0.69337,0.5773,0.57386,0.23944,1.74565,1.04874,0.94351,0.00157706,0.00157706,0.00157706
47,146.013,1.78019,0.99549,0.92574,0.69041,0.48104,0.53893,0.23394,1.7449,1.0169,0.94209,0.0015731,0.0015731,0.0015731
48,149.29,1.80143,0.99692,0.93195,0.77309,0.57695,0.63868,0.26039,1.72816,0.96851,0.94199,0.00156906,0.00156906,0.00156906
49,152.295,1.8021,1.00518,0.93172,0.59994,0.62482,0.5734,0.24192,1.75189,0.99137,0.94349,0.00156493,0.00156493,0.00156493
50,155.368,1.80656,0.99609,0.93017,0.73332,0.57845,0.59634,0.24686,1.73201,0.98256,0.9407,0.00156073,0.00156073,0.00156073
51,158.519,1.78011,0.98581,0.9279,0.70676,0.50887,0.56395,0.26609,1.70766,0.95287,0.94057,0.00155645,0.00155645,0.00155645
52,161.454,1.75802,0.97313,0.92929,0.69556,0.56831,0.59433,0.2575,1.74415,1.00617,0.93879,0.00155209,0.00155209,0.00155209
53,164.511,1.78947,0.9947,0.92957,0.75468,0.59571,0.63688,0.24098,1.71733,0.95967,0.94089,0.00154765,0.00154765,0.00154765
54,167.821,1.77955,0.98203,0.93118,0.84016,0.51529,0.6106,0.25145,1.74504,0.98906,0.94267,0.00154314,0.00154314,0.00154314
55,170.77,1.7822,0.97953,0.92663,0.75745,0.57045,0.59684,0.2502,1.75209,1.01343,0.94508,0.00153854,0.00153854,0.00153854
56,173.909,1.76703,0.98716,0.92574,0.70279,0.58244,0.6108,0.25558,1.74018,0.97702,0.94419,0.00153388,0.00153388,0.00153388
57,177.06,1.77143,0.96686,0.92352,0.66453,0.62824,0.61009,0.24966,1.72115,1.01688,0.93586,0.00152913,0.00152913,0.00152913
58,180.224,1.74884,0.95187,0.92201,0.71086,0.57098,0.60635,0.26375,1.72468,0.98684,0.93826,0.00152431,0.00152431,0.00152431
59,183.792,1.7631,0.97037,0.92259,0.63765,0.57834,0.60246,0.25145,1.74803,1.00306,0.93944,0.00151942,0.00151942,0.00151942
60,186.758,1.79103,0.99867,0.92428,0.62372,0.59258,0.56107,0.24155,1.722,1.02413,0.9338,0.00151445,0.00151445,0.00151445
61,189.698,1.77093,0.97183,0.92704,0.65486,0.60602,0.60537,0.25308,1.71581,0.97568,0.93906,0.00150941,0.00150941,0.00150941
62,192.701,1.75675,0.9689,0.92228,0.66123,0.50673,0.52844,0.23363,1.72114,0.9556,0.94018,0.00150429,0.00150429,0.00150429
63,195.765,1.76473,0.97132,0.92235,0.65658,0.49645,0.54204,0.27276,1.72542,0.97639,0.94571,0.0014991,0.0014991,0.0014991
64,198.764,1.76517,0.97725,0.9257,0.72868,0.58231,0.61876,0.28086,1.69259,0.97112,0.93619,0.00149384,0.00149384,0.00149384
65,202.156,1.75408,0.97893,0.92068,0.50919,0.44569,0.4635,0.2246,1.73522,0.97957,0.93907,0.00148851,0.00148851,0.00148851
66,205.11,1.74889,0.9698,0.92504,0.6545,0.51258,0.58669,0.24364,1.73193,0.97341,0.94323,0.00148311,0.00148311,0.00148311
67,208.093,1.7692,0.9768,0.92189,0.58155,0.62139,0.57165,0.2358,1.73291,1.00836,0.93558,0.00147764,0.00147764,0.00147764
68,211.12,1.73846,0.95196,0.92013,0.59609,0.49761,0.52694,0.25505,1.71308,0.98152,0.93678,0.00147209,0.00147209,0.00147209
69,214.103,1.75748,0.96463,0.92114,0.68917,0.56239,0.65163,0.291,1.70536,0.96612,0.93508,0.00146648,0.00146648,0.00146648
70,217.286,1.75949,0.95639,0.92119,0.6791,0.49951,0.54095,0.25728,1.72368,0.96668,0.93946,0.0014608,0.0014608,0.0014608
