epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,117.488,2.02595,1.36244,0.98832,0.57689,0.42197,0.49618,0.24658,1.92715,1.33818,0.99285,0.0015921,0.0015921,0.0015921
43,120.27,1.98373,1.33556,0.98832,0.7406,0.42049,0.50596,0.20813,1.89274,1.31266,0.99318,0.00158847,0.00158847,0.00158847
44,123.08,1.99148,1.33082,0.98372,0.8113,0.42111,0.51434,0.2277,1.91324,1.28625,0.9883,0.00158475,0.00158475,0.00158475
45,125.85,2.00605,1.34679,0.99628,0.60549,0.41341,0.46957,0.21878,1.9081,1.3099,0.99316,0.00158094,0.00158094,0.00158094
46,128.578,2.01113,1.33034,0.98101,0.76184,0.53795,0.54721,0.25763,1.90528,1.31491,0.99205,0.00157706,0.00157706,0.00157706
47,131.331,1.97889,1.31933,0.97783,0.68335,0.56274,0.55019,0.22549,1.90695,1.27799,0.98993,0.0015731,0.0015731,0.0015731
48,134.064,2.002,1.34638,0.99037,0.55509,0.45707,0.45657,0.1947,1.9043,1.31605,0.99025,0.00156906,0.00156906,0.00156906
49,136.8,2.00238,1.35383,0.98908,0.66168,0.42325,0.49346,0.19606,1.94821,1.27732,0.99501,0.00156493,0.00156493,0.00156493
50,139.54,2.01063,1.34669,0.98656,0.67515,0.51822,0.51385,0.20784,1.92582,1.2685,0.9897,0.00156073,0.00156073,0.00156073
51,142.29,2.00241,1.33547,0.98415,0.74722,0.54472,0.54137,0.22039,1.88095,1.28066,0.98821,0.00155645,0.00155645,0.00155645
52,145.021,1.96315,1.32009,0.98785,0.6318,0.48312,0.51337,0.20015,1.89144,1.2776,0.98763,0.00155209,0.00155209,0.00155209
53,147.895,2.00651,1.34401,0.9885,0.58676,0.5011,0.46763,0.18466,1.88755,1.26212,0.98706,0.00154765,0.00154765,0.00154765
54,150.9,2.00358,1.32899,0.99005,0.65529,0.41451,0.4449,0.18719,1.90908,1.29407,0.98654,0.00154314,0.00154314,0.00154314
55,153.61,1.99689,1.33096,0.98364,0.82159,0.44551,0.50253,0.17684,1.88634,1.73403,0.9867,0.00153854,0.00153854,0.00153854
