epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.9521,2.1639,2.69859,1.01113,0.01473,0.45028,0.15985,0.05813,1.98996,2.984,0.9825,0.000548158,0.000548158,0.000548158
2,7.29607,2.04734,1.64242,0.98563,0.8108,0.30094,0.28866,0.10813,2.18634,1.41971,1.04501,0.00110379,0.00110379,0.00110379
3,10.5328,2.05834,1.54423,0.99211,0.65626,0.50037,0.50224,0.20788,1.88398,1.37826,0.97069,0.00165931,0.00165931,0.00165931
4,13.7855,1.95784,1.34415,0.9689,0.37448,0.52909,0.39589,0.16989,1.87153,1.12822,0.96694,0.00166659,0.00166659,0.00166659
5,17.0027,1.96091,1.28554,0.96685,0.69668,0.49089,0.5347,0.20361,1.84414,1.17694,0.96105,0.00166628,0.00166628,0.00166628
6,20.2707,1.93315,1.20646,0.96261,0.58505,0.50977,0.55344,0.21639,1.80756,1.30923,0.95617,0.00166587,0.00166587,0.00166587
7,23.4224,1.90907,1.15025,0.95775,0.37356,0.51021,0.43065,0.19684,1.80225,1.06097,0.95662,0.00166537,0.00166537,0.00166537
8,26.6375,1.86255,1.12079,0.95861,0.85328,0.51322,0.57189,0.25038,1.76933,1.07498,0.9534,0.00166478,0.00166478,0.00166478
9,29.887,1.85633,1.07441,0.94866,0.87804,0.50556,0.59184,0.26915,1.75491,1.06427,0.94128,0.00166411,0.00166411,0.00166411
10,33.1189,1.88377,1.07648,0.95007,0.58054,0.63394,0.58802,0.23734,1.81148,1.08984,0.96315,0.00166334,0.00166334,0.00166334
11,36.2662,1.89204,1.06338,0.95458,0.52627,0.53722,0.49241,0.21337,1.80084,1.02767,0.95279,0.00166248,0.00166248,0.00166248
12,39.4711,1.8624,1.02832,0.95263,0.50994,0.56238,0.49216,0.22616,1.81801,0.99591,0.95673,0.00166153,0.00166153,0.00166153
13,42.6212,1.82757,1.0143,0.94125,0.62466,0.49912,0.52502,0.2339,1.74328,1.00816,0.9486,0.00166049,0.00166049,0.00166049
14,45.7683,1.83442,1.02524,0.94697,0.70666,0.56785,0.64144,0.26732,1.7629,1.03175,0.94924,0.00165937,0.00165937,0.00165937
15,48.9486,1.83052,1.01912,0.93847,0.68968,0.56614,0.58593,0.24838,1.73392,1.00096,0.94053,0.00165815,0.00165815,0.00165815
16,52.0634,1.81759,1.00736,0.94789,0.65917,0.55182,0.64053,0.2623,1.75445,1.03058,0.94926,0.00165684,0.00165684,0.00165684
17,55.1967,1.80175,0.98992,0.94477,0.71212,0.51101,0.59434,0.23008,1.71976,0.96071,0.94306,0.00165544,0.00165544,0.00165544
18,58.3704,1.8192,0.98678,0.94244,0.78615,0.60727,0.62843,0.30393,1.74882,0.97473,0.95059,0.00165396,0.00165396,0.00165396
19,61.546,1.79426,0.96216,0.94203,0.84294,0.5744,0.65084,0.29308,1.73793,0.98522,0.94089,0.00165238,0.00165238,0.00165238
20,64.7624,1.77084,0.95513,0.93444,0.86291,0.60727,0.67419,0.26771,1.70602,0.935,0.93398,0.00165072,0.00165072,0.00165072
21,67.9213,1.76167,0.94246,0.93314,0.76177,0.55818,0.62602,0.29665,1.7025,0.95219,0.93527,0.00164897,0.00164897,0.00164897
22,71.0834,1.76139,0.94431,0.92845,0.68872,0.62685,0.6242,0.2683,1.68737,0.92711,0.93278,0.00164713,0.00164713,0.00164713
23,74.2716,1.77555,0.95325,0.92971,0.64465,0.52385,0.5833,0.24998,1.70894,0.95058,0.93609,0.0016452,0.0016452,0.0016452
24,77.4802,1.77775,0.94479,0.94029,0.73029,0.51315,0.58719,0.23888,1.72261,0.97002,0.93589,0.00164318,0.00164318,0.00164318
25,80.6239,1.74591,0.92416,0.9318,0.66685,0.55247,0.6236,0.26357,1.7194,0.91688,0.93554,0.00164108,0.00164108,0.00164108
26,83.8562,1.7746,0.93414,0.92801,0.75069,0.64408,0.63071,0.26963,1.73108,0.96451,0.94088,0.00163888,0.00163888,0.00163888
27,86.9921,1.77122,0.94257,0.93391,0.57572,0.63978,0.60503,0.23748,1.70388,0.92783,0.93113,0.0016366,0.0016366,0.0016366
28,90.1399,1.7554,0.91941,0.92803,0.8192,0.57644,0.64917,0.28021,1.69264,0.90618,0.93788,0.00163424,0.00163424,0.00163424
