epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,149.347,1.71836,0.89346,0.92162,0.58811,0.71823,0.64517,0.26519,1.67847,0.94801,0.93124,0.0015921,0.0015921,0.0015921
43,152.823,1.69405,0.86965,0.92163,0.83515,0.57115,0.64129,0.28467,1.69461,0.91008,0.93554,0.00158847,0.00158847,0.00158847
44,156.606,1.70716,0.88338,0.9197,0.78333,0.6017,0.63531,0.27448,1.68352,0.92213,0.93262,0.00158475,0.00158475,0.00158475
45,160.289,1.71229,0.87642,0.92643,0.79077,0.61797,0.64603,0.28707,1.68262,0.91734,0.93386,0.00158094,0.00158094,0.00158094
46,164.024,1.68832,0.87316,0.91212,0.81983,0.60434,0.63917,0.2897,1.68253,0.90408,0.93154,0.00157706,0.00157706,0.00157706
47,167.717,1.70464,0.875,0.91501,0.56803,0.55938,0.54946,0.26314,1.6721,0.94583,0.93212,0.0015731,0.0015731,0.0015731
48,171.79,1.71177,0.8763,0.92285,0.71954,0.61411,0.63715,0.26849,1.74013,0.92102,0.94109,0.00156906,0.00156906,0.00156906
49,175.432,1.71383,0.87909,0.92146,0.7132,0.63038,0.64183,0.27542,1.68337,0.88398,0.93104,0.00156493,0.00156493,0.00156493
50,179.031,1.72316,0.88322,0.92043,0.80352,0.58169,0.65836,0.26963,1.72831,0.91231,0.9369,0.00156073,0.00156073,0.00156073
51,182.716,1.69265,0.86594,0.91747,0.67925,0.62524,0.65233,0.28724,1.67653,0.89009,0.93307,0.00155645,0.00155645,0.00155645
52,186.432,1.68422,0.85482,0.92326,0.78147,0.58113,0.61451,0.28394,1.75681,0.90303,0.94897,0.00155209,0.00155209,0.00155209
53,190.097,1.70021,0.87433,0.91798,0.79228,0.61668,0.66261,0.26679,1.65516,0.85723,0.9288,0.00154765,0.00154765,0.00154765
54,193.816,1.7115,0.87388,0.92452,0.62492,0.55182,0.61735,0.27045,1.68727,0.91811,0.93087,0.00154314,0.00154314,0.00154314
55,197.57,1.69651,0.85955,0.91698,0.62,0.47821,0.53758,0.25815,1.66078,0.90913,0.92461,0.00153854,0.00153854,0.00153854
56,201.422,1.68181,0.86734,0.91974,0.90213,0.63796,0.65284,0.28863,1.67098,0.87917,0.935,0.00153388,0.00153388,0.00153388
57,205.095,1.69766,0.85605,0.91612,0.67616,0.52219,0.60404,0.27468,1.67426,0.89742,0.92902,0.00152913,0.00152913,0.00152913
58,208.828,1.67032,0.83524,0.91545,0.70425,0.61092,0.66028,0.29492,1.66112,0.87616,0.93141,0.00152431,0.00152431,0.00152431
59,212.378,1.6737,0.84837,0.91263,0.78898,0.59014,0.64663,0.28517,1.67537,0.86883,0.93053,0.00151942,0.00151942,0.00151942
60,215.843,1.69331,0.86405,0.91358,0.7048,0.6058,0.6453,0.29507,1.67341,0.8923,0.92672,0.00151445,0.00151445,0.00151445
61,219.529,1.68839,0.84841,0.92025,0.61926,0.48306,0.49266,0.2444,1.64893,0.84505,0.92859,0.00150941,0.00150941,0.00150941
62,222.998,1.66712,0.84265,0.91248,0.62158,0.54397,0.54514,0.27973,1.63008,0.85497,0.92358,0.00150429,0.00150429,0.00150429
63,226.472,1.67278,0.83962,0.914,0.70765,0.58994,0.59519,0.28835,1.65087,0.86769,0.92689,0.0014991,0.0014991,0.0014991
