epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,183.499,1.65011,0.86222,0.91068,0.90666,0.61069,0.66132,0.30258,1.62031,0.89977,0.92769,0.00144145,0.00144145,0.00144145
43,187.829,1.62694,0.83423,0.91087,0.68457,0.63937,0.6309,0.28591,1.61147,0.86987,0.92357,0.00143595,0.00143595,0.00143595
44,192.115,1.63694,0.84503,0.90839,0.71432,0.62983,0.63841,0.3104,1.63819,0.85224,0.9306,0.00143045,0.00143045,0.00143045
45,196.497,1.65904,0.85464,0.91819,0.79158,0.52214,0.5974,0.25973,1.73426,0.91284,0.9486,0.00142495,0.00142495,0.00142495
46,200.832,1.61807,0.83282,0.90109,0.64254,0.5437,0.55689,0.27682,1.64937,0.88844,0.93324,0.00141945,0.00141945,0.00141945
47,205.085,1.61914,0.83835,0.90313,0.8556,0.62083,0.66181,0.2919,1.63948,0.90856,0.92918,0.00141395,0.00141395,0.00141395
48,209.354,1.63291,0.84261,0.91025,0.83293,0.61162,0.65946,0.30386,1.65133,0.88521,0.93016,0.00140845,0.00140845,0.00140845
49,213.799,1.64858,0.85176,0.91172,0.85631,0.59956,0.6836,0.29834,1.61908,0.87082,0.9254,0.00140295,0.00140295,0.00140295
50,218.095,1.63263,0.83859,0.9084,0.69738,0.59999,0.65412,0.31912,1.6937,0.87562,0.93653,0.00139745,0.00139745,0.00139745
51,222.452,1.62085,0.83789,0.90682,0.81385,0.59565,0.66214,0.31897,1.63131,0.86609,0.92473,0.00139195,0.00139195,0.00139195
52,226.957,1.61057,0.82419,0.91065,0.77369,0.61925,0.66299,0.31058,1.60206,0.86625,0.91977,0.00138644,0.00138644,0.00138644
53,231.18,1.61552,0.83091,0.9053,0.79819,0.60851,0.65057,0.30165,1.59778,0.84091,0.92365,0.00138094,0.00138094,0.00138094
54,235.552,1.62155,0.82984,0.91043,0.86329,0.63209,0.66492,0.29455,1.6387,0.88458,0.92658,0.00137544,0.00137544,0.00137544
55,239.808,1.61518,0.82337,0.90401,0.78751,0.6231,0.66562,0.31363,1.61225,0.86569,0.92749,0.00136994,0.00136994,0.00136994
56,244.211,1.60536,0.83543,0.90895,0.68859,0.66078,0.63325,0.29154,1.6422,0.85562,0.93115,0.00136444,0.00136444,0.00136444
57,248.45,1.61693,0.81222,0.90378,0.77665,0.61736,0.63648,0.29269,1.71079,0.9161,0.94603,0.00135894,0.00135894,0.00135894
58,252.745,1.58597,0.79253,0.90292,0.75861,0.60368,0.60375,0.29017,1.66396,0.88235,0.93292,0.00135344,0.00135344,0.00135344
59,257.07,1.59233,0.80458,0.90013,0.93603,0.59009,0.64225,0.29503,1.69616,0.93576,0.93376,0.00134794,0.00134794,0.00134794
60,261.343,1.60285,0.81427,0.90049,0.68999,0.63809,0.67205,0.34457,1.60193,0.84372,0.92181,0.00134244,0.00134244,0.00134244
61,265.66,1.61478,0.816,0.90696,0.77135,0.63595,0.6663,0.32756,1.59126,0.84559,0.92022,0.00133693,0.00133693,0.00133693
62,269.915,1.60216,0.80422,0.90238,0.75231,0.61214,0.67572,0.32739,1.58752,0.79972,0.9188,0.00133143,0.00133143,0.00133143
63,274.079,1.59408,0.79599,0.90078,0.76753,0.59355,0.66921,0.30192,1.61842,0.8438,0.92317,0.00132593,0.00132593,0.00132593
64,278.396,1.59005,0.79963,0.90417,0.88287,0.6261,0.68223,0.35369,1.55949,0.81878,0.91194,0.00132043,0.00132043,0.00132043
65,282.671,1.58784,0.80583,0.9005,0.77876,0.65528,0.64778,0.2964,1.63166,0.85598,0.92541,0.00131493,0.00131493,0.00131493
66,286.952,1.57677,0.80227,0.90137,0.75684,0.60543,0.67466,0.30941,1.5847,0.81886,0.91902,0.00130943,0.00130943,0.00130943
67,291.128,1.59005,0.80105,0.90007,0.87395,0.63053,0.67736,0.31306,1.63686,0.83671,0.93128,0.00130393,0.00130393,0.00130393
68,295.357,1.58182,0.78847,0.89968,0.73052,0.63194,0.65815,0.31538,1.63086,0.86374,0.93009,0.00129843,0.00129843,0.00129843
69,299.662,1.58223,0.79802,0.90095,0.8555,0.62259,0.66713,0.31042,1.58213,0.85523,0.92096,0.00129293,0.00129293,0.00129293
70,303.953,1.58017,0.78953,0.90059,0.69098,0.66214,0.66178,0.29711,1.60153,0.82271,0.92522,0.00128742,0.00128742,0.00128742
71,308.204,1.55908,0.7813,0.89563,0.88743,0.61583,0.67135,0.30643,1.57575,0.8167,0.91868,0.00128192,0.00128192,0.00128192
72,312.412,1.5739,0.78506,0.89738,0.88158,0.5979,0.67311,0.2895,1.64136,0.87302,0.9244,0.00127642,0.00127642,0.00127642
73,316.691,1.57045,0.78314,0.89923,0.70266,0.62882,0.68378,0.31437,1.59207,0.82627,0.9229,0.00127092,0.00127092,0.00127092
74,320.96,1.57107,0.77998,0.89961,0.65336,0.72155,0.61923,0.29659,1.60442,0.82313,0.92294,0.00126542,0.00126542,0.00126542
75,325.189,1.5665,0.79123,0.89963,0.87753,0.59956,0.70017,0.30295,1.62665,0.82827,0.92417,0.00125992,0.00125992,0.00125992
76,329.526,1.57467,0.78322,0.90231,0.81002,0.6306,0.67158,0.31006,1.58002,0.8326,0.91734,0.00125442,0.00125442,0.00125442
77,333.84,1.5659,0.78078,0.89388,0.68201,0.55125,0.58174,0.29398,1.60955,0.8285,0.92459,0.00124892,0.00124892,0.00124892
78,338.341,1.5388,0.76721,0.89644,0.78293,0.60854,0.65792,0.30484,1.59799,0.82562,0.92268,0.00124342,0.00124342,0.00124342
79,342.676,1.55536,0.77404,0.89493,0.66927,0.5511,0.59577,0.29164,1.65069,0.84426,0.92544,0.00123791,0.00123791,0.00123791
80,346.973,1.58284,0.79262,0.90183,0.77091,0.59215,0.67349,0.29215,1.62195,0.83334,0.92182,0.00123241,0.00123241,0.00123241
81,351.19,1.54764,0.76757,0.89697,0.82362,0.60079,0.68154,0.28511,1.62592,0.83125,0.92447,0.00122691,0.00122691,0.00122691
82,355.48,1.56967,0.77052,0.90052,0.90986,0.61454,0.67609,0.31232,1.59422,0.81117,0.92052,0.00122141,0.00122141,0.00122141
83,359.849,1.54006,0.76015,0.89129,0.73083,0.62732,0.66544,0.30137,1.61504,0.8356,0.9255,0.00121591,0.00121591,0.00121591
84,364.04,1.54005,0.75737,0.89336,0.73884,0.6261,0.67333,0.29495,1.63621,0.83039,0.92374,0.00121041,0.00121041,0.00121041
85,368.207,1.53102,0.75129,0.89622,0.76464,0.58568,0.67536,0.30308,1.60262,0.8102,0.92226,0.00120491,0.00120491,0.00120491
86,372.558,1.53164,0.7571,0.89197,0.73306,0.57439,0.69385,0.31444,1.59223,0.80478,0.91798,0.00119941,0.00119941,0.00119941
87,376.848,1.55666,0.7665,0.8903,0.83834,0.56855,0.67052,0.31423,1.59097,0.84784,0.92026,0.00119391,0.00119391,0.00119391
88,381.113,1.54248,0.7564,0.8976,0.86264,0.62138,0.67779,0.31445,1.58378,0.85046,0.91451,0.0011884,0.0011884,0.0011884
89,385.351,1.53627,0.75049,0.88575,0.80395,0.63167,0.6699,0.30807,1.59642,0.80183,0.91872,0.0011829,0.0011829,0.0011829
