epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,180.336,1.6556,0.86648,0.91252,0.53743,0.55694,0.54435,0.25769,1.67112,0.89952,0.93131,0.0015921,0.0015921,0.0015921
43,184.511,1.61756,0.83773,0.91179,0.94484,0.62155,0.65593,0.29682,1.63261,0.89409,0.92952,0.00158847,0.00158847,0.00158847
44,188.774,1.64115,0.86089,0.91202,0.86633,0.60042,0.67254,0.2843,1.67874,0.8867,0.93286,0.00158475,0.00158475,0.00158475
45,193.311,1.65594,0.854,0.92098,0.73815,0.54611,0.57162,0.25767,1.65642,0.90573,0.93447,0.00158094,0.00158094,0.00158094
46,197.608,1.61453,0.83538,0.90211,0.79747,0.59428,0.64236,0.28353,1.63793,0.88961,0.92823,0.00157706,0.00157706,0.00157706
47,201.923,1.62389,0.83877,0.90499,0.8627,0.62739,0.67021,0.33021,1.62318,0.91481,0.92362,0.0015731,0.0015731,0.0015731
48,206.198,1.65775,0.85688,0.91703,0.79861,0.60684,0.61429,0.27207,1.66136,0.9045,0.9259,0.00156906,0.00156906,0.00156906
49,210.427,1.65777,0.85598,0.91481,0.64369,0.52085,0.61914,0.30005,1.63625,0.85832,0.92634,0.00156493,0.00156493,0.00156493
50,214.651,1.63897,0.84218,0.90941,0.52081,0.63607,0.58212,0.2825,1.72197,0.89591,0.94073,0.00156073,0.00156073,0.00156073
51,218.908,1.61318,0.82684,0.90722,0.72403,0.61523,0.66741,0.30721,1.63129,0.8516,0.92883,0.00155645,0.00155645,0.00155645
52,223.237,1.60854,0.8247,0.91227,0.79411,0.59066,0.65327,0.28354,1.67445,0.89651,0.93525,0.00155209,0.00155209,0.00155209
53,227.995,1.62158,0.83682,0.90702,0.69858,0.52942,0.59487,0.30196,1.64019,0.87566,0.93083,0.00154765,0.00154765,0.00154765
54,232.344,1.63195,0.84377,0.91264,0.88329,0.56585,0.69277,0.28942,1.6422,0.87044,0.92831,0.00154314,0.00154314,0.00154314
55,236.585,1.63047,0.83826,0.906,0.70808,0.71623,0.66039,0.29163,1.60204,0.88163,0.92196,0.00153854,0.00153854,0.00153854
56,240.856,1.61119,0.83639,0.91055,0.92968,0.63167,0.66536,0.29695,1.61634,0.83425,0.92625,0.00153388,0.00153388,0.00153388
57,245.335,1.62965,0.82087,0.90598,0.7733,0.61197,0.68646,0.33534,1.61569,0.83595,0.92337,0.00152913,0.00152913,0.00152913
58,249.667,1.58889,0.79623,0.9041,0.86387,0.61214,0.6729,0.31751,1.61735,0.84461,0.92211,0.00152431,0.00152431,0.00152431
59,253.9,1.59614,0.80908,0.9019,0.70701,0.62271,0.62924,0.29026,1.66817,0.89429,0.9313,0.00151942,0.00151942,0.00151942
60,258.165,1.61978,0.82619,0.90391,0.79088,0.52785,0.61838,0.28259,1.60339,0.83322,0.92447,0.00151445,0.00151445,0.00151445
61,262.683,1.61496,0.81315,0.9087,0.88925,0.65867,0.67162,0.30202,1.62883,0.86059,0.92839,0.00150941,0.00150941,0.00150941
62,266.899,1.59753,0.80067,0.90384,0.93434,0.61097,0.70062,0.3304,1.64485,0.85296,0.92736,0.00150429,0.00150429,0.00150429
63,271.166,1.60631,0.81166,0.90333,0.73192,0.63161,0.65127,0.30468,1.63108,0.86133,0.92671,0.0014991,0.0014991,0.0014991
64,275.429,1.60688,0.81885,0.90772,0.89493,0.59927,0.65778,0.29776,1.69259,0.89611,0.93324,0.00149384,0.00149384,0.00149384
65,279.693,1.59463,0.81165,0.89958,0.86383,0.5938,0.66932,0.30173,1.62284,0.87593,0.92454,0.00148851,0.00148851,0.00148851
66,284.5,1.58673,0.80097,0.90331,0.73558,0.61774,0.65159,0.29516,1.61893,0.83579,0.92588,0.00148311,0.00148311,0.00148311
67,288.788,1.61072,0.80749,0.90274,0.87332,0.58158,0.63373,0.29056,1.7679,0.97708,0.95812,0.00147764,0.00147764,0.00147764
68,293.075,1.59472,0.79348,0.9013,0.92311,0.63402,0.72279,0.32575,1.60798,0.8438,0.9281,0.00147209,0.00147209,0.00147209
69,297.363,1.58084,0.80585,0.89961,0.75329,0.65778,0.67154,0.30867,1.57453,0.85927,0.91779,0.00146648,0.00146648,0.00146648
70,301.667,1.57334,0.78808,0.90066,0.67007,0.63213,0.63168,0.28182,1.62371,0.87091,0.92611,0.0014608,0.0014608,0.0014608
71,305.911,1.57066,0.78759,0.89913,0.92087,0.62217,0.67719,0.3257,1.56819,0.82507,0.91514,0.00145505,0.00145505,0.00145505
72,310.725,1.57878,0.79261,0.89944,0.88166,0.61353,0.68154,0.30519,1.59721,0.82965,0.9235,0.00144924,0.00144924,0.00144924
73,314.982,1.57739,0.7944,0.90028,0.84243,0.63184,0.69366,0.31282,1.58632,0.83043,0.9215,0.00144335,0.00144335,0.00144335
74,319.203,1.5823,0.79039,0.90106,0.96176,0.61054,0.69063,0.32233,1.63636,0.856,0.92776,0.00143741,0.00143741,0.00143741
75,323.423,1.569,0.78573,0.90104,0.83969,0.72407,0.71443,0.33185,1.61275,0.81791,0.9237,0.00143139,0.00143139,0.00143139
76,327.981,1.59261,0.78708,0.9034,0.72555,0.56001,0.67798,0.31176,1.6776,0.85788,0.93258,0.00142531,0.00142531,0.00142531
77,332.267,1.57958,0.78589,0.89629,0.90131,0.5959,0.69834,0.32476,1.61642,0.82753,0.92025,0.00141917,0.00141917,0.00141917
78,336.798,1.55313,0.77661,0.89968,0.80442,0.59785,0.67511,0.31414,1.63764,0.82161,0.92932,0.00141297,0.00141297,0.00141297
79,341.105,1.57218,0.78319,0.89871,0.71555,0.61882,0.65743,0.31233,1.6802,0.88407,0.93137,0.0014067,0.0014067,0.0014067
